key,stand,significant,factor,date
temp=60-70 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0842946226999589,2026-08-20
temp=70-80 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0873125770559337,2026-08-20
temp=<60 wind=Varies speed=15+mph,L,no (CI overlaps baseline),-0.1035966687401822,2026-08-20
temp=80-90 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1312825739079969,2026-08-20
temp=<60 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1380371129942609,2026-08-20
temp=80-90 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0882056830205859,2026-08-20
temp=80-90 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.076464898065202,2026-08-20
temp=60-70 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0750348262271778,2026-08-20
temp=60-70 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0633607781030318,2026-08-20
temp=60-70 wind=Varies speed=15+mph,R,no (CI overlaps baseline),0.0589907519971433,2026-08-20
temp=70-80 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0584833789478742,2026-08-20
temp=80-90 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0584402100446226,2026-08-20
temp=<60 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0541146291833058,2026-08-20
temp=70-80 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0468958237832282,2026-08-20
temp=60-70 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0454417572705641,2026-08-20
temp=80-90 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0438423466110351,2026-08-20
temp=<60 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0425503917321636,2026-08-20
temp=<60 wind=Varies speed=15+mph,R,no (CI overlaps baseline),0.038222139726765,2026-08-20
temp=80-90 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0323337391328222,2026-08-20
temp=60-70 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0309323217456294,2026-08-20
temp=70-80 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.029113569397341,2026-08-20
temp=80-90 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),0.0280266345976873,2026-08-20
temp=80-90 wind=In speed=5-10mph,R,no (CI overlaps baseline),0.0255581684535659,2026-08-20
temp=<60 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0248049753102099,2026-08-20
temp=60-70 wind=Calm speed=10-15mph,R,no (CI overlaps baseline),0.0224976632900502,2026-08-20
temp=90+ wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0219401649975219,2026-08-20
temp=60-70 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0194952264463763,2026-08-20
temp=80-90 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),0.0171457871013673,2026-08-20
temp=60-70 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),0.0152152929332634,2026-08-20
temp=70-80 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0147184290332709,2026-08-20
temp=80-90 wind=Out speed=10-15mph,R,no (CI overlaps baseline),0.0146761547534706,2026-08-20
